Name,Value
ARICA_GM,0.06845
ARICA_M1,0.16947
ARICA_M2,0.12706
TARAPACA-TG_DIE,0.0072
UJINA_U1_HFO,0.26
UJINA_U1_DIE,0.31
UJINA_U2_HFO,0.24
UJINA_U2_DIE,0.27
UJINA_U3_HFO,0.47
UJINA_U3_DIE,0.45
UJINA_U4_HFO,0.45
UJINA_U4_DIE,0.47
UJINA_U5_HFO,0.204567164179104
UJINA_U6_HFO,0.204567164179104
CERRO_PABELLON_U1,2.88
CERRO_PABELLON_U2,2.43
CERRO_PABELLON_U3,0
TOCOPILLA_U15,8.34
TOCOPILLA_U16-TG_GN_A,5.486
TOCOPILLA_U16-TG_GNL_A,5.486
TOCOPILLA_U16-TG_GNL_B,5.486
TOCOPILLA_U16-TG_GNL_C,5.486
TOCOPILLA_U16-TG_GNL_D,5.486
TOCOPILLA_U16-TG_GNL_E,5.486
TOCOPILLA_U16-TG_GNL_INF,5.486
TOCOPILLA_U16-TG+TV_DIE,11.858
TOCOPILLA_U16-TG+TV_GN_A,7.065
TOCOPILLA_U16-TG+TV_GNL_A,7.065
TOCOPILLA_U16-TG+TV_GNL_B,7.065
TOCOPILLA_U16-TG+TV_GNL_C,7.065
TOCOPILLA_U16-TG+TV_GNL_D,7.065
TOCOPILLA_U16-TG+TV_GNL_E,7.065
TOCOPILLA_U16-TG+TV_GNL_INF,7.065
TOCOPILLA-TG1,0.097
TOCOPILLA-TG2,0.097
TOCOPILLA-TG3_DIE,0.3
TOCOPILLA-TG3_GN_A,0.3
TOCOPILLA-TG3_GNL_A,0.3
TOCOPILLA-TG3_GNL_B,0.3
TOCOPILLA-TG3_GNL_C,0.3
TOCOPILLA-TG3_GNL_D,0.3
TOCOPILLA-TG3_GNL_E,0.3
TOCOPILLA-TG3_GNL_INF,0.3
KELAR-TG1_DIE,2.61
KELAR-TG1_GNL_A,3.4
KELAR-TG1_GNL_B,3.4
KELAR-TG1_GNL_C,3.4
KELAR-TG1_GNL_D,3.4
KELAR-TG1_GNL_E,3.4
KELAR-TG1_GNL_INF,3.4
KELAR-TG1+0.5TV_DIE,6.73
KELAR-TG1+0.5TV_GNL_A,6.2
KELAR-TG1+0.5TV_GNL_B,6.2
KELAR-TG1+0.5TV_GNL_C,6.2
KELAR-TG1+0.5TV_GNL_D,6.2
KELAR-TG1+0.5TV_GNL_E,6.2
KELAR-TG1+0.5TV_GNL_INF,6.2
KELAR-TG1+TG2+TV_DIE,10.97
KELAR-TG1+TG2+TV_GNL_A,10.6
KELAR-TG1+TG2+TV_GNL_B,10.6
KELAR-TG1+TG2+TV_GNL_C,10.6
KELAR-TG1+TG2+TV_GNL_D,10.6
KELAR-TG1+TG2+TV_GNL_E,10.6
KELAR-TG1+TG2+TV_GNL_INF,10.6
KELAR-TG2_DIE,2.2
KELAR-TG2_GNL_A,1.93
KELAR-TG2_GNL_B,1.93
KELAR-TG2_GNL_C,1.93
KELAR-TG2_GNL_D,1.93
KELAR-TG2_GNL_E,1.93
KELAR-TG2_GNL_INF,1.93
KELAR-TG2+0.5TV_DIE,5.72
KELAR-TG2+0.5TV_GNL_A,5.76
KELAR-TG2+0.5TV_GNL_B,5.76
KELAR-TG2+0.5TV_GNL_C,5.76
KELAR-TG2+0.5TV_GNL_D,5.76
KELAR-TG2+0.5TV_GNL_E,5.76
KELAR-TG2+0.5TV_GNL_INF,5.76
ANGAMOS_1,28.325
ANGAMOS_2,28.325
COCHRANE_1,30.058
COCHRANE_2,30.058
MEJILLONES_1,15.26
MEJILLONES_2,15.383
MEJILLONES_3-TG_DIE,7.88
MEJILLONES_3-TG_GN_A,8.68
MEJILLONES_3-TG_GNL_A,8.68
MEJILLONES_3-TG_GNL_B,8.68
MEJILLONES_3-TG_GNL_C,8.68
MEJILLONES_3-TG_GNL_D,8.68
MEJILLONES_3-TG_GNL_E,8.68
MEJILLONES_3-TG_GNL_INF,8.68
MEJILLONES_3-TG+TV_DIE,8.19
MEJILLONES_3-TG+TV_GN_A,8.99
MEJILLONES_3-TG+TV_GNL_A,8.99
MEJILLONES_3-TG+TV_GNL_B,8.99
MEJILLONES_3-TG+TV_GNL_C,8.99
MEJILLONES_3-TG+TV_GNL_D,8.99
MEJILLONES_3-TG+TV_GNL_E,8.99
MEJILLONES_3-TG+TV_GNL_INF,8.99
IE_MEJILLONES,29.01
ANDINA,16.2
HORNITOS,16.2
ATA-TG1A_DIE,1.423
ATA-TG1A_GNL_A,1.196
ATA-TG1A_GNL_B,1.196
ATA-TG1A_GNL_C,1.196
ATA-TG1A_GNL_D,1.196
ATA-TG1A_GNL_E,1.196
ATA-TG1A_GN_A,1.196
ATA-TG1A_GNL_INF,1.196
ATA-TG1A+0.5TV1C_DIE,6.062
ATA-TG1A+0.5TV1C_GNL_A,5.965
ATA-TG1A+0.5TV1C_GNL_B,5.965
ATA-TG1A+0.5TV1C_GNL_C,5.965
ATA-TG1A+0.5TV1C_GNL_D,5.965
ATA-TG1A+0.5TV1C_GNL_E,5.965
ATA-TG1A+0.5TV1C_GN_A,5.965
ATA-TG1A+0.5TV1C_GNL_INF,5.965
